route_random_sigma,result
0.0,[]
0.0,"[{(0.0, 0.0): 0.68588160192863201}]"
0.0,"[{(0.0, 0.0): 0.79939321119883566}, {(0.0, 0.0): 0.55433152507682171}]"
0.0,"[{(0.0, 0.0): 0.56779915079404719}, {(0.0, 0.0): 0.78570737557811376}, {(0.0, 0.0): 0.47963419872071444}]"
0.0,"[{(0.0, 0.0): 0.25928662477626468}, {(0.0, 0.0): 0.32066175582970019}, {(0.0, 0.0): 0.23406611802632868}, {(0.0, 0.0): 0.40703977727688767}]"
0.0,"[{(0.0, 0.0): 0.27076278144571975}, {(0.0, 0.0): 0.39620295500704283}, {(0.0, 0.0): 0.23173816759187699}, {(0.0, 0.0): 0.57960909478400446}, {(0.0, 0.0): 0.64320395241137351}]"
0.0,"[{(0.0, 0.0): 0.82850111243571123}, {(0.0, 0.0): 0.91268023246542129}, {(0.0, 0.0): 0.69418804802711609}, {(0.0, 0.0): 0.73767358941624406}, {(0.0, 0.0): 0.31031065340924108}, {(0.0, 0.0): 0.38474285709603717}]"
0.0,"[{(0.0, 0.0): 0.59901871817157726}, {(0.0, 0.0): 0.41677951435546945}, {(0.0, 0.0): 0.78703910112683673}, {(0.0, 0.0): 0.38125851635739627}, {(0.0, 0.0): 0.20398162855894464}, {(0.0, 0.0): 0.18636980145423496}, {(0.0, 0.0): 0.54822843731159487}]"
0.0,"[{(0.0, 0.0): 0.39643443266178324}, {(0.0, 0.0): 0.62930065035406457}, {(0.0, 0.0): 0.32725580001612686}, {(0.0, 0.0): 0.89004061969551085}, {(0.0, 0.0): 0.43520196779603215}, {(0.0, 0.0): 0.63513832551232474}, {(0.0, 0.0): 0.59852617079730108}, {(0.0, 0.0): 0.24993286822730998}]"
0.0,"[{(0.0, 0.0): 0.84500109659460754}, {(0.0, 0.0): 0.8535157650930566}, {(0.0, 0.0): 0.68843588575739001}, {(0.0, 0.0): 0.68324152555463313}, {(0.0, 0.0): 0.29144857797977586}, {(0.0, 0.0): 0.33909141111838803}, {(0.0, 0.0): 0.96068473322899095}, {(0.0, 0.0): 0.52526567368948829}, {(0.0, 0.0): 0.52482829210074233}]"
60,"[{(0.0, 60): 0.27071509784041492}, {(0.0, 60): 0.18488114923405932}, {(0.0, 60): 0.44547766444579362}, {(0.0, 60): 0.21695468961889938}, {(0.0, 60): 0.15431057185039471}, {(0.0, 60): 0.1076949749772696}, {(0.0, 60): 0.30926823543489346}, {(0.0, 60): 0.66456529964685562}, {(0.0, 60): 0.11446748818487421}, {(0.0, 60): 0.25584496053313643}]"
60,"[{(0.0, 60): 0.37301851857815194}, {(0.0, 60): 0.24884996959687938}, {(0.0, 60): 0.58717225016512176}, {(0.0, 60): 0.27337120689873423}, {(0.0, 60): 0.1750242012242591}, {(0.0, 60): 0.13268286823134756}, {(0.0, 60): 0.39697052700887525}, {(0.0, 60): 0.83519739158665096}, {(0.0, 60): 0.14950430843606613}, {(0.0, 60): 0.34213054865251324}, {(60, 60): 0.77747190826971246}]"
60,"[{(0.0, 60): 0.57746850213008205}, {(0.0, 60): 0.7989938231072462}, {(0.0, 60): 0.48725304424204263}, {(0.0, 60): 0.98657596096879185}, {(0.0, 60): 0.40104568586759248}, {(0.0, 60): 0.56773804282475315}, {(0.0, 60): 0.74928702770803868}, {(0.0, 60): 0.38678254745246143}, {(0.0, 60): 0.87455817757902998}, {(0.0, 60): 0.69475735321350784}, {(60, 60): 0.21905027476332725}, {(60, 60): 0.27653844677464356}]"
60,"[{(0.0, 60): 0.6359474047956184}, {(0.0, 60): 0.77419302879300811}, {(0.0, 60): 0.56863897168525401}, {(0.0, 60): 0.92095816285065391}, {(0.0, 60): 0.50092309655541889}, {(0.0, 60): 0.73571148303682743}, {(0.0, 60): 0.73759280450802067}, {(0.0, 60): 0.48948611694755395}, {(0.0, 60): 0.99377633977373336}, {(0.0, 60): 0.70648822848363946}, {(60, 60): 0.3617318658014087}, {(60, 60): 0.4180315613575043}, {(60, 60): 0.91102225336245501}]"
60,"[{(0.0, 60): 0.9425616616182384}, {(0.0, 60): 0.66550598766132452}, {(0.0, 60): 0.86876140157682802}, {(0.0, 60): 0.55439916821587043}, {(0.0, 60): 0.25513905919961527}, {(0.0, 60): 0.26909094386479632}, {(0.0, 60): 0.79715689214080054}, {(0.0, 60): 0.67203223991252725}, {(0.0, 60): 0.3957345308236847}, {(0.0, 60): 0.80902303199141778}, {(60, 60): 0.35304287003009793}, {(60, 60): 0.47079937922652926}, {(60, 60): 0.56355827317252216}, {(60, 60): 0.6210685393774571}]"
60,"[{(0.0, 60): 0.8636867887030637}, {(0.0, 60): 0.82950633838242527}, {(0.0, 60): 0.70086628673080331}, {(0.0, 60): 0.66533467658543355}, {(0.0, 60): 0.28616961730718882}, {(0.0, 60): 0.32747528502683743}, {(0.0, 60): 0.94209852211590828}, {(0.0, 60): 0.53245976587516064}, {(0.0, 60): 0.50390037024544676}, {(0.0, 60): 0.97906920213547577}, {(60, 60): 0.25450003102406726}, {(60, 60): 0.34234367325979453}, {(60, 60): 0.67662882426343685}, {(60, 60): 0.69562268202280553}, {(60, 60): 0.82528909090072533}]"
60,"[{(0.0, 60): 0.35359232865343249}, {(0.0, 60): 0.23759931293980457}, {(0.0, 60): 0.55533573504918188}, {(0.0, 60): 0.26174285682765475}, {(0.0, 60): 0.17039486098376944}, {(0.0, 60): 0.12774946106998208}, {(0.0, 60): 0.3783140862398422}, {(0.0, 60): 0.79394848388783656}, {(0.0, 60): 0.14355953023591167}, {(0.0, 60): 0.32522233481117313}, {(60, 60): 0.83517984492575537}, {(60, 60): 0.94376959335853916}, {(60, 60): 0.26470202141382204}, {(60, 60): 0.40516173826931134}, {(60, 60): 0.44578483220370013}, {(60, 60): 0.32531129131456782}]"
60,"[{(0.0, 60): 0.72296909648156227}, {(0.0, 60): 0.95328600003540853}, {(0.0, 60): 0.61377796424882836}, {(0.0, 60): 0.85582162250527549}, {(0.0, 60): 0.35363497011159073}, {(0.0, 60): 0.47483341635872556}, {(0.0, 60): 0.88721079778382705}, {(0.0, 60): 0.49242256980885646}, {(0.0, 60): 0.73421554107121545}, {(0.0, 60): 0.84209009290958636}, {(60, 60): 0.29317088644022898}, {(60, 60): 0.36770135860604336}, {(60, 60): 0.86813151548043133}, {(60, 60): 0.81775280259704464}, {(60, 60): 0.70033634776628539}, {(60, 60): 0.82447561010523795}, {(60, 60): 0.35168577704801474}]"
60,"[{(0.0, 60): 0.76322954074380644}, {(0.0, 60): 0.96165607635672901}, {(0.0, 60): 0.66284878909907752}, {(0.0, 60): 0.8668931283371919}, {(0.0, 60): 0.36680747562226579}, {(0.0, 60): 0.50464972810348341}, {(0.0, 60): 0.90166026701826196}, {(0.0, 60): 0.54845457070039583}, {(0.0, 60): 0.7596111501526267}, {(0.0, 60): 0.86428800208056811}, {(60, 60): 0.36291338309018684}, {(60, 60): 0.43978177755294146}, {(60, 60): 0.87825005225362618}, {(60, 60): 0.82530535580773501}, {(60, 60): 0.74015600119058733}, {(60, 60): 0.84933172128925583}, {(60, 60): 0.42254968117117653}, {(60, 60): 0.99788601385760067}]"
60,"[{(0.0, 60): 0.24571895114022857}, {(0.0, 60): 0.16772616657836509}, {(0.0, 60): 0.44414127922526314}, {(0.0, 60): 0.21425753070213169}, {(0.0, 60): 0.15680176686957828}, {(0.0, 60): 0.10591413096454654}, {(0.0, 60): 0.30621428793055427}, {(0.0, 60): 0.68924888294288789}, {(0.0, 60): 0.10548009688339283}, {(0.0, 60): 0.24141867825440752}, {(60, 60): 0.93295650243156392}, {(60, 60): 0.81786364615131057}, {(60, 60): 0.21613220007890543}, {(60, 60): 0.36965538868528014}, {(60, 60): 0.3429050506350565}, {(60, 60): 0.23820367593677888}, {(60, 60): 0.88315281889337327}, {(60, 60): 0.29320867381440374}, {(60, 60): 0.36911543037802619}]"
